begins; starts; undertakes	ārabhati	
effort; energy	viriya (nt.)	
The elders make an effort.	Therā viriyaṁ ārabhanti.	s
ear	sota (nt.)	
stream; river	sota (m.)	
applies (attention); pays; lit. puts down	odahati	
They give ear.	Te sotaṁ odahanti.	s
privately; alone; secretly	raho (ind.)	
sitting place; seat	nisajjā (f.)	
prepares; arranges; considers	kappeti	
it is suitable; it is allowable	kappati	
takes a seat; sits down; lit. prepares a seat	nisajjaṁ kappeti (idiom.)	
Privately, he takes a seat.	Raho nisajjaṁ kappeti.	s
is in solitude; seeks privacy	rahāyati	
seclusion; solitude	viveka (m.)	
wishes; wants	icchati	
Who seeks privacy, he wants solitude.	Yo rahāyati, so vivekaṁ icchati.	s
discontent; aversion; boredom	aratī (f.)	
death personified	māra (m.)	
daughter	dhītar (f.)	
daughter of Māra	māradhītar (f.)	
Discontent is a dauther of Māra.	Aratī ekā māradhītarā.	s
cloth; garments	dussa (nt.)	
to/for her; to/for that	tassā (f.dat.sg.pron.) [ta + ssā]	
He gives her the cloth.	So tassā dussaṁ deti.	s
The man eats rice.	Naro bhattaṁ bhuñjati.	s
The men are cooking.	Narā pacanti.	s
General Sīha goes up to the Buddha.	Sīho Senāpati yena bhagavā ten'upasaṅkamati.	s
I see the moon.	Candaṁ passāmi.	s
You (pl.) don't see the dogs.	Sunakhe na passatha.	s
The boys are running.	Dārakā dhāvanti.	s
You are sitting here.	Idha nisīdasi.	s
She comes from there.	Sā tato āgacchati.	s
We run to the boys.	Mayaṁ dārake dhāvāma.	s
Hey layman, come here!	Ehi upāsaka!	s
sage; hermit	muni (m.)	
guru; esteemed person	garu (m.)	
army general	senānī (m.)	
wise man; seer	vidū (m.)	
cow; ox; cattle	go (m.)	
takes; accepts; receives	paṭiggaṇhāti	
goes beyond; surpasses; transgresses	accayati	
May the Buddha accept (that) transgression.	Buddho paṭiggaṇhātu accayantaṃ.	s
easy; comfortable	phāsu (adj.)	
lives (in); dwells	viharati	
Let him live comfortably!	Phāsu viharatu!	s
rain; downpour	vassa (m.)	
one hundred	sata (card.)	
lives	jīvati	
May you live 100 years!	Vassasataṁ jīva!	s
is calmed; is appeased	sammati	
calmed; tranquillised	samita (pp. of sammati)	
feels; experiences; senses	vedeti	
May you feel calm!	Samitaṁ vedehi!	s
Don't go! (imperative)	Mā gaccha!	s
(object of) pleasure; sensual pleasure	kāma (m.)	
passion; infatuation; lust	rāga (m.)	
is burned; is scorched; is on fire	ḍayhati	
May you not burn with sensual desire!	Kāmarāgena mā ḍayhatha!	s
defilement; impurity	kilesa (m.)	
shines; blazes; burns	tapati	
May they burn the defilements!	Kilese tapantu!	s
hears	suṇāti	
Let the Sangha hear me.	Suṇātu me bhante saṅgho ...	s
purity; purification	pārisuddhi (f.)	
venerable; reverend	āyasmant (m.)	
Let the Venerables declare purity.	Pārisuddhiṁ āyasmanto ārocetha.	s
teacher; religious leader	ācariya (m.)	
sage; wise man	paṇḍita (m.)	
teacher; master	satthar (m.) [√sās + tar]	
