(1) here; now; in this world; (2) in this case	idha (ind.)	
master; gentleman; sir	ayya (m.)	
May he come here. (imperative)	Idha āgacchatu.	s
May the master come here. (imperative)	Ayyo idha āgacchatu.	s
Venerable, may the master come and sit here.	Bhante, ayyo āgacchatu, idha nisīdatu.	s
I hope; I trust	kacci (ind.)	
I hope you are...	kacci'si [kacci + asi]	
bearable; tolearable	khamanīya (adj.)	
able to keep going; sustainable	yāpanīya (adj.)	
I hope you're keeping well Ven., I hope you're getting by?	Kacci, bhante, khamanīyaṁ kacci yāpanīyaṁ?	s
few; not much	appa (adj.)	
fatigue; tiredness	kilamatha (m.)	
worn out; tired	kilanta (adj)	
little fatigue; little tiredness	appakilamatha (m.)	
long road; journey	addhāna (nt.)	
coming; arrival	āgata (nt.)	
I hope you are with little fatigue?	Kacci'si appakilamathena?	s
from travelling (from going on the journey)	addhānaṁ āgato	
I hope you're with little fatigue from traveling?	Kacci'si appakilamathena addhānaṁ āgato?	s
I'm keeping well, friend, I'm getting by.	Khamanīyaṁ, āvuso, yāpanīyaṁ.	s
... and I'm not tired, friend, from traveling.	... appakilamathena cāhaṁ [ca ahaṁ], āvuso, addhānaṁ āgato.	s
I am tired. (Me tired I am '√as')	Ahaṁ kilantosmi. [kilanto + asmi]	s
from there	tato (ind.)	
where? from where?	kuto (ind.)	
And where from, you Ven., have you come?	Kuto ca tvaṁ bhante, āgacchasi?	s
(1) place; region (2) point; item; detail	desa (m.)	
Portugal-region	Portugal-desa	
country; province; area	janapada (m.)	
There is, Ven., in the region (of) Portugal, the monastery called Sumedhārāma.	Atthi, bhante, Portugal-dese Sumedhārāma-nāma vihāro.	s
There is, Ven., in the country (of) America, the monastery called Clear Mountain.	Atthi, bhante, America janapade Pasannagiri-nāma vihāro.	s
That's where I, Ven., am coming from.	Tato ahaṁ, bhante, āgacchāmi.	s
(1) ball; lump (2) bit of food	piṇḍa (m.)	
alms food; lit. lump-like thing	piṇḍaka (m.)	
(1) fall (2) drop; dropping; lit. made to drop	pāta (m.)	
alms food; lit. lump dropping	piṇḍapāta (m.)	
Have you not had trouble? (not tired/weary you are '√as')	Na kilantosi?	s
